Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Pollyanna	2	1599	Off-List[3]	"1,368"	"2,777"	"12,602"	"54,498"	1	1
		Railway Children The	2	1778	Off-List[6]	"1,250"	"2,709"	"2,374"	"20,242"	1	2
		Secret Garden The	2	Off-List[8]	Off-List[99]	"1,917"	Off-List[15]	"11,482"	"14,138"	2	4
		Tempest The	2	Off-List[5]	Off-List[22]	Off-List[1]	Off-List[6]	"22,580"	"26,439"	1	2
		Treasure Island	2	Off-List[8]	Off-List[68]	Off-List[1]	Off-List[15]	"11,548"	"16,666"	3	6
		Val's Diary	3	Off-List[36]	Off-List[121]	"2,706"	Off-List[41]	"5,228"	"13,322"	2	5
	Young Adult ELI Readers
		Age of Innocence The	3	1891	Off-List[42]	"1,343"	"2,601"	"5,141"	"20,010"	1	2
		Botchan	2	1970	Off-List[21]	"1,578"	Off-List[1]	"2,028"	"9,678"	2	11
		Dracula	2	Off-List[8]	Off-List[60]	"1,874"	Off-List[8]	"2,694"	"9,406"	2	4
		Dubliners	4	Off-List[172]	Off-List[588]	Off-List[2]	Off-List[214]	"5,525"	"13,172"	3	5
		Frankenstein	4	Off-List[18]	Off-List[185]	"2,204"	Off-List[32]	"2,683"	"6,254"	2	4
		Great Expectations	2	2225	Off-List[61]	"1,599"	Off-List[3]	"3,235"	"11,531"	2	4
		Great Gatsby The	5	Off-List[144]	Off-List[577]	Off-List[3]	Off-List[249]	"6,778"	"13,096"	3	8
		Gulliver's Travels	2	Off-List[4]	Off-List[61]	"1,847"	Off-List[8]	"2,349"	"5,047"	2	4
		Hamlet Prince of Denmark	2	Off-List[6]	Off-List[21]	Off-List[1]	Off-List[7]	"14,675"	"24,503"	3	7
		Hound of the Baskervilles The	2	Off-List[1]	Off-List[43]	"2,136"	Off-List[6]	"4,655"	"20,267"	2	4
		Importance of Being Earnest The	5	Off-List[188]	Off-List[632]	Off-List[44]	Off-List[330]	"23,977"	0[1]	3	8
		Jane Eyre	3	Off-List[70]	Off-List[382]	"2,592"	Off-List[101]	"4,306"	"11,210"	2	4
		Macbeth	3	Off-List[24]	Off-List[118]	"2,670"	Off-List[32]	"5,081"	"17,245"	2	7
		Midsummer Night's Dream A	2	Off-List[6]	Off-List[40]	"2,596"	Off-List[11]	"22,199"	"25,236"	4	14
		Mill on the Floss The	4	2455	Off-List[97]	"1,625"	Off-List[2]	"3,242"	"12,602"	1	2
		Moby Dick	4	Off-List[87]	Off-List[400]	Off-List[9]	Off-List[141]	"5,625"	"26,963"	4	6
		Mrs Dalloway	5	Off-List[216]	Off-List[725]	Off-List[9]	Off-List[327]	"9,747"	"20,269"	3	5
		Narrative of Arthur Gordon Pym of Nantucket The	2	Off-List[1]	Off-List[17]	"1,905"	Off-List[3]	"2,694"	"23,069"	2	4
		Picture of Dorian Gray The	3	Off-List[27]	Off-List[187]	"2,508"	Off-List[54]	"6,027"	"20,706"	2	6
		Pride and Prejudice	3	2373	Off-List[53]	"1,393"	Off-List[2]	"12,690"	"17,547"	1	2
		Robinson Crusoe	2	2038	Off-List[14]	"1,430"	Off-List[1]	"1,402"	"3,368"	1	2
		Romeo and Juliet	2	Off-List[4]	Off-List[33]	"1,678"	Off-List[3]	"11,886"	"29,148"	1	2
		Sense and Sensibility	3	2124	Off-List[49]	"1,384"	Off-List[3]	"11,496"	"22,362"	1	2
		Stories of Mystery and Suspense	4	Off-List[99]	Off-List[357]	Off-List[5]	Off-List[122]	"3,931"	"10,830"	2	5
		Strange Case of Dr. Jekyll and Mr. Hyde The	2	1931	Off-List[18]	"1,378"	"2,321"	"3,925"	"11,758"	1	2
		Study in Scarlet A	2	1433	Off-List[4]	"1,050"	"2,232"	"1,639"	"11,680"	1	2
		Tale of Two Cities A	4	Off-List[34]	Off-List[198]	"2,219"	Off-List[30]	"6,061"	"13,691"	2	7
		Tales from Shakespeare	4	Off-List[40]	Off-List[187]	"2,795"	Off-List[50]	"7,016"	"23,022"	2	4
		Three Men in a Boat	2	Off-List[5]	Off-List[77]	"1,688"	Off-List[10]	"2,391"	"11,139"	1	2
		Turn of the Screw The	4	Off-List[38]	Off-List[298]	"2,415"	Off-List[85]	"3,441"	"9,406"	2	4
		Woman in White The	3	1864	Off-List[24]	"1,399"	"2,325"	"3,234"	"12,960"	1	2
		Wuthering Heights	4	Off-List[42]	Off-List[308]	"2,359"	Off-List[94]	"4,098"	"18,879"	2	4
	Young ELI Readers
		Aladdin and the Magic Lamp	1	Off-List[3]	Off-List[11]	Off-List[2]	Off-List[5]	"14,322"	"72,957"	4	23
		Alice in Wonderland	2	Off-List[2]	Off-List[12]	"1,924"	Off-List[5]	"1,420"	"7,175"	1	4
		Granny Fixit and the Ball	1	2236	Off-List[4]	"1,825"	Off-List[2]	"10,746"	"51,212"	33	33
		Granny Fixit and the Pirate	1	Off-List[1]	Off-List[6]	Off-List[1]	Off-List[4]	"3,237"	"51,212"	6	33
		Granny Fixit and the Yellow String	1	Off-List[2]	Off-List[8]	"2,087"	Off-List[4]	"12,816"	"12,816"	4	9
		Harry and an Electrical Problem	2	Off-List[3]	Off-List[19]	"2,074"	Off-List[1]	"10,973"	"14,721"	2	2
		Harry and the Crown	2	Off-List[5]	Off-List[22]	Off-List[1]	Off-List[6]	"11,616"	"14,721"	2	5
		Harry and the Sports Competition	2	Off-List[15]	Off-List[43]	Off-List[2]	Off-List[15]	"13,827"	"14,721"	2	5
		Hooray for the Holidays	1	Off-List[21]	Off-List[33]	Off-List[6]	Off-List[18]	"20,355"	"20,355"	3	33
		PB3 and Coco the Clown	1	Off-List[5]	Off-List[16]	Off-List[1]	Off-List[7]	"11,482"	"23,493"	6	9
		PB3 and the Jacket	1	Off-List[10]	Off-List[24]	"2,707"	Off-List[6]	"6,878"	"12,079"	4	6
		PB3 and the Vegetables	1	Off-List[14]	Off-List[28]	Off-List[6]	Off-List[15]	"13,231"	"16,581"	6	7
		Sophie's Dream	1	Off-List[30]	Off-List[41]	Off-List[15]	Off-List[26]	"4,527"	"11,033"	5	9
		Uncle Jack and the Bakonzi Tree	1	Off-List[2]	Off-List[15]	"2,691"	Off-List[6]	"2,586"	"5,277"	2	7
		Uncle Jack and the Emperor Penguins	1	Off-List[4]	Off-List[21]	Off-List[1]	Off-List[7]	"5,277"	"11,210"	4	8
		Uncle Jack and the Meerkats	1	Off-List[6]	Off-List[23]	Off-List[1]	Off-List[8]	"11,548"	"45,204"	8	16
Foxton
	Foxton Readers
		Adventure of the Speckled Band The	2	Off-List[19]	Off-List[78]	Off-List[3]	Off-List[30]	"11,210"	"16,238"	2	5
		Alice in Wonderland	2	Off-List[22]	Off-List[116]	"2,540"	Off-List[30]	"4,023"	"21,937"	4	7
		Anne of Green Gables	2	Off-List[1]	Off-List[43]	"1,708"	Off-List[7]	"13,398"	"29,560"	2	4
		Around the World in Eighty Days	2	Off-List[30]	Off-List[116]	Off-List[2]	Off-List[42]	"11,210"	"17,647"	3	8
		Beauty and the Beast	2	Off-List[7]	Off-List[50]	Off-List[1]	Off-List[7]	"1,599"	"5,718"	2	4
		Boy and the Wizard The	1	Off-List[6]	Off-List[17]	Off-List[3]	Off-List[8]	"13,121"	"13,121"	5	6
		Boy Who Planted a Forest The	1	Off-List[5]	Off-List[20]	Off-List[1]	Off-List[7]	"2,391"	"7,684"	2	10
		By the Lake	1	Off-List[9]	Off-List[27]	Off-List[1]	Off-List[10]	"3,480"	"13,757"	2	4
		Call of the Wild	3	Off-List[35]	Off-List[136]	Off-List[1]	Off-List[36]	"6,400"	"15,609"	2	9
		Chef The	1	Off-List[12]	Off-List[23]	Off-List[6]	Off-List[12]	"2,175"	"12,189"	3	6
		Count of Monte Cristo The	3	Off-List[15]	Off-List[140]	"2,434"	Off-List[35]	"5,002"	"23,448"	3	8
		David Copperfield	3	1721	Off-List[28]	"1,115"	"2,451"	"11,210"	"35,525"	1	2
		Dracula	2	Off-List[20]	Off-List[77]	Off-List[1]	Off-List[22]	"11,622"	"38,678"	4	16
		Emily and the Rabbit	1	Off-List[1]	Off-List[5]	"1,708"	Off-List[1]	"13,757"	"17,153"	1	2
		Frankenstein	3	Off-List[1]	Off-List[39]	"2,415"	Off-List[5]	"2,927"	"12,499"	2	3
		Great Expectations	3	2077	Off-List[35]	"1,480"	Off-List[1]	"5,301"	"11,939"	1	4
		Gulliver's Travels	2	Off-List[24]	Off-List[97]	"2,707"	Off-List[27]	"2,173"	"4,306"	2	4
		Heidi	2	Off-List[3]	Off-List[28]	"2,601"	Off-List[7]	"2,150"	"8,605"	1	5
		Huckleberry Finn	2	Off-List[5]	Off-List[48]	"2,654"	Off-List[10]	"10,466"	"12,602"	2	4
		Jane Eyre	3	2207	Off-List[60]	"1,552"	Off-List[3]	"5,874"	"11,210"	1	3
		Journey to the Centre of the Earth	3	Off-List[50]	Off-List[157]	Off-List[10]	Off-List[75]	"4,884"	"18,331"	4	7
		Jungle Book The	2	Off-List[17]	Off-List[64]	Off-List[3]	Off-List[18]	"8,157"	"34,064"	4	8
		Just in Time	1	Off-List[3]	Off-List[17]	"1,664"	Off-List[4]	"16,301"	"18,987"	2	4
		Kidnapped	4	Off-List[47]	Off-List[338]	"2,664"	Off-List[99]	"6,088"	"13,055"	2	5
		Kit's New Phone	1	1782	Off-List[3]	"1,708"	Off-List[1]	"1,301"	"7,349"	4	4
		Little Prince The	2	Off-List[6]	Off-List[22]	Off-List[1]	Off-List[7]	"1,345"	"2,689"	2	4
		Little Princess A	2	Off-List[1]	Off-List[17]	"1,811"	Off-List[7]	"14,176"	"14,176"	2	5
		Lost Dog The	1	Off-List[7]	Off-List[17]	"2,796"	Off-List[4]	"13,747"	"31,059"	2	19
		Lost World The	2	Off-List[13]	Off-List[63]	Off-List[2]	Off-List[26]	"3,599"	"7,265"	3	5
		Merchant of Venice The	3	Off-List[4]	Off-List[92]	"2,058"	Off-List[7]	"4,852"	"24,224"	2	5
		Moby Dick	2	Off-List[23]	Off-List[73]	Off-List[3]	Off-List[25]	"6,810"	"45,758"	4	6
		More than a Game	1	Off-List[8]	Off-List[27]	"2,055"	Off-List[3]	"3,751"	"14,691"	2	3
		Oliver Twist	3	Off-List[14]	Off-List[68]	"2,154"	Off-List[16]	"13,871"	"26,715"	2	6
		Pirate Captain The	1	Off-List[6]	Off-List[19]	Off-List[1]	Off-List[6]	"11,139"	"11,482"	3	9
		Pocahontas	3	Off-List[1]	Off-List[47]	"1,874"	Off-List[5]	"11,705"	"21,900"	2	3
		Prisoner of Zenda The	2	Off-List[10]	Off-List[63]	"2,796"	Off-List[18]	"11,726"	"24,631"	2	4
		Race to Paris	1	Off-List[2]	Off-List[18]	"2,003"	Off-List[4]	"12,123"	"14,176"	2	5
		Railway Children The	3	Off-List[31]	Off-List[152]	"2,688"	Off-List[41]	"8,605"	"20,242"	2	6
		Robinson Crusoe	2	Off-List[28]	Off-List[104]	Off-List[2]	Off-List[34]	"3,370"	"7,560"	2	6
		Secret Garden The	2	2213	Off-List[16]	"1,590"	Off-List[1]	"14,130"	"14,138"	2	5
		Sleepy Hollow	2	Off-List[51]	Off-List[151]	Off-List[9]	Off-List[68]	"14,330"	"55,802"	4	13
		Temple of Adventure The	1	Off-List[3]	Off-List[23]	"2,664"	Off-List[6]	"20,706"	"20,706"	2	6
		Thanks for the Memories	1	Off-List[4]	Off-List[22]	"1,789"	Off-List[6]	"2,346"	"19,996"	2	2
		Thief The	1	Off-List[4]	Off-List[12]	Off-List[1]	Off-List[6]	"1,941"	"2,223"	4	6
		Thirty-Nine Steps The	3	Off-List[19]	Off-List[216]	"2,226"	Off-List[52]	"2,842"	"11,210"	2	5
		Three Musketeers The	3	Off-List[15]	Off-List[75]	Off-List[1]	Off-List[20]	"18,563"	"28,555"	5	11
		Toy Maker The	1	Off-List[3]	Off-List[17]	"1,992"	Off-List[3]	"2,690"	"10,746"	2	4
		Treasure Island	2	Off-List[11]	Off-List[61]	Off-List[1]	Off-List[9]	"5,117"	"23,650"	3	6
		Twenty Thousand Leagues under the Sea	3	Off-List[29]	Off-List[183]	Off-List[1]	Off-List[46]	"11,543"	"18,404"	3	15
		Wizard of Oz The	2	Off-List[18]	Off-List[65]	Off-List[1]	Off-List[25]	"3,770"	"8,371"	5	17
Garnet
	Oracle Readers
		A Tidy Ghost	3	Off-List[9]	Off-List[63]	"1,993"	Off-List[11]	"6,088"	"15,011"	2	5
		African Adventure	3	2143	Off-List[20]	"1,438"	"2,413"	"3,742"	"13,001"	1	2
		Casualty!	2	2007	Off-List[19]	"1,313"	"2,347"	"6,673"	"14,191"	1	2
		Life Lines	3	Off-List[5]	Off-List[41]	"1,792"	Off-List[3]	"4,702"	"13,290"	2	5
		Milo	3	2068	Off-List[26]	"1,429"	"2,601"	"2,492"	"13,271"	1	2
		Space Romance	3	Off-List[7]	Off-List[46]	"2,747"	Off-List[8]	"2,890"	"10,608"	2	5
		Strawberry and The Sensations	2	Off-List[5]	Off-List[24]	"1,478"	Off-List[1]	"2,752"	"13,130"	2	4
		Sunnyvista City	3	Off-List[4]	Off-List[40]	"1,905"	Off-List[4]	"2,492"	"12,189"	2	2
		The Case of the Dead Batsman	3	Off-List[8]	Off-List[64]	"2,280"	Off-List[12]	"7,419"	"25,642"	2	6
		The Collector	2	Off-List[7]	Off-List[25]	Off-List[1]	Off-List[9]	"3,666"	"13,308"	3	6
		The Hitchhiker	3	1960	Off-List[28]	"1,384"	"2,754"	"1,964"	"5,981"	1	2
		The Locked Room	2	2017	Off-List[9]	"1,440"	Off-List[2]	"1,225"	"2,988"	1	2
		The Visit	2	2236	Off-List[14]	"1,612"	Off-List[2]	"7,175"	"14,721"	1	5
		The Watchers	2	1671	Off-List[5]	"2,226"	Off-List[1]	"11,548"	"25,089"	1	4
		Underground	2	Off-List[1]	Off-List[20]	"2,169"	Off-List[3]	"5,257"	"13,185"	2	5
		Zoo Diary	2	Off-List[1]	Off-List[12]	"2,079"	Off-List[3]	"2,703"	"13,046"	2	33
Grass Roots
	Biographies
		Althea Gibson	4	Off-List[1]	Off-List[6]	"1,915"	Off-List[1]	"55,482"	"55,482"	23	23
		Amelia Earhart	3	1904	Off-List[5]	"1,432"	Off-List[2]	"3,713"	"11,790"	2	3
		Big Bear	4	Off-List[3]	Off-List[15]	Off-List[1]	Off-List[5]	"11,445"	"19,509"	3	10
		Bruce Lee	4	Off-List[2]	Off-List[14]	Off-List[1]	Off-List[6]	"12,803"	"24,568"	3	6
		Cesar Chavez	4	Off-List[5]	Off-List[21]	"2,587"	Off-List[5]	"3,993"	"15,474"	2	5
		Charles Lindbergh	3	2219	Off-List[4]	"1,615"	"2,668"	"47,692"	"53,338"	2	3
		Clara Hughes	4	Off-List[6]	Off-List[19]	Off-List[1]	Off-List[6]	"15,032"	"15,032"	3	4
		Dalai Lama	4	Off-List[2]	Off-List[19]	Off-List[1]	Off-List[9]	"20,727"	"30,888"	5	16
		David Suzuki	4	Off-List[3]	Off-List[20]	"2,020"	Off-List[7]	"10,610"	"12,574"	2	4
		Edmund Hillary & Tenzing	3	2308	Off-List[11]	"1,772"	Off-List[3]	"13,826"	"20,469"	2	15
		Eleanor Roosevelt	3	2386	Off-List[9]	"1,431"	Off-List[1]	"16,180"	"16,180"	2	2
		Elizabeth Fry	4	Off-List[1]	Off-List[12]	"1,664"	Off-List[2]	"12,499"	"12,499"	1	2
		Emily Carr	4	Off-List[1]	Off-List[12]	"2,195"	Off-List[6]	"13,757"	"13,757"	2	4
		Fannie Lou Hamer	4	Off-List[1]	Off-List[13]	"1,622"	Off-List[3]	"11,548"	"14,740"	2	4
		First Women in Space	3	1933	Off-List[8]	"1,290"	"2,596"	"15,461"	"22,613"	2	3
		Harriet Tubman	4	Off-List[1]	Off-List[10]	"2,423"	Off-List[1]	"4,238"	"5,776"	2	4
		Helen Keller	3	1626	Off-List[2]	"1,423"	"2,261"	"2,783"	"12,960"	1	2
		Jane Goodall	4	Off-List[4]	Off-List[19]	Off-List[2]	Off-List[8]	"12,690"	"12,690"	6	6
		Jean Vanier	4	2378	Off-List[8]	"1,828"	Off-List[2]	"3,305"	"10,389"	2	3
		Jimi Hendrix	3	Off-List[1]	Off-List[19]	"2,212"	"2,586"	"18,127"	"18,127"	2	3
		June Callwood	4	Off-List[6]	Off-List[29]	"2,126"	Off-List[5]	"3,909"	"10,252"	2	4
		Laura Secord	4	2137	Off-List[6]	"1,926"	Off-List[1]	"13,283"	"13,283"	2	3
		Louis Riel	4	Off-List[3]	Off-List[23]	"2,106"	Off-List[5]	"73,159"	"73,159"	18	18
		Lucy Maud Montomgery	4	Off-List[2]	Off-List[19]	"2,601"	Off-List[6]	"4,255"	"40,345"	3	4
		Mahatma Gandhi	4	Off-List[7]	Off-List[27]	"2,577"	Off-List[9]	"10,612"	"14,322"	2	3
		Malala Yousafzai	3	1758	Off-List[4]	"1,445"	"2,673"	"8,261"	"14,009"	9	13
		Maria Tallchief	3	Off-List[5]	Off-List[22]	Off-List[1]	Off-List[6]	"13,225"	"13,225"	4	10
		Marilyn Monroe	4	2143	Off-List[8]	"1,367"	"2,694"	"15,011"	"15,011"	2	3
		Martin Luther King Jr.	4	Off-List[1]	Off-List[10]	"1,874"	Off-List[3]	"7,005"	"14,236"	2	5
		Matthew Henson & Robert Peary	4	Off-List[2]	Off-List[17]	"1,997"	Off-List[4]	"18,125"	"27,840"	2	4
		Michae_lle Jean	4	Off-List[2]	Off-List[15]	"2,052"	Off-List[2]	"9,106"	"17,746"	2	3
		Mother Teresa	4	Off-List[1]	Off-List[13]	Off-List[1]	Off-List[6]	"9,318"	"13,750"	3	5
		Muhammad Ali	4	Off-List[12]	Off-List[28]	Off-List[1]	Off-List[8]	"3,052"	"7,265"	4	4
		Nancy Greene	4	Off-List[6]	Off-List[17]	Off-List[1]	Off-List[5]	"13,293"	"13,293"	3	4
		Nelson Mandela	4	Off-List[1]	Off-List[15]	"1,460"	Off-List[1]	"17,895"	"17,895"	2	3
		Norman Bethune	4	Off-List[1]	Off-List[18]	"1,714"	Off-List[2]	"13,263"	"13,992"	2	3
		Oskar Schindler	4	Off-List[2]	Off-List[14]	"2,264"	Off-List[3]	"20,748"	"24,224"	2	3
		Poundmaker	4	Off-List[3]	Off-List[18]	Off-List[1]	Off-List[5]	"19,509"	"65,791"	5	33
		Rick Hansen	4	Off-List[4]	Off-List[23]	"2,170"	Off-List[5]	"9,438"	"9,438"	2	5
		Rosa Parks	4	Off-List[2]	Off-List[13]	"1,496"	Off-List[2]	"12,411"	"14,842"	2	5
		Terry Fox	4	Off-List[3]	Off-List[26]	"2,668"	Off-List[13]	"19,371"	"19,371"	3	5
		The Famous Five	4	1772	Off-List[2]	"1,015"	"2,212"	"6,050"	"13,333"	2	2
		Tom Longboat	4	2284	Off-List[15]	"1,528"	Off-List[1]	"12,602"	"12,602"	2	3
		Tommy Prince	4	Off-List[7]	Off-List[31]	"2,634"	Off-List[9]	"13,996"	"13,996"	2	4
		Walt Disney	3	2059	Off-List[9]	"1,570"	Off-List[1]	"33,244"	"33,244"	2	3
		Wangari Maathai	4	Off-List[4]	Off-List[23]	"2,020"	Off-List[1]	"2,429"	"8,412"	2	33
		Wayne Gretzky	4	2379	Off-List[10]	"1,761"	Off-List[1]	"13,046"	"13,046"	4	25
		Will Rogers	3	Off-List[2]	Off-List[17]	"1,943"	Off-List[6]	"5,979"	"20,632"	2	4
	Good Reads
		All Night	4	Off-List[66]	Off-List[288]	"2,672"	Off-List[84]	"3,002"	"10,252"	2	5
		Bed and Breakfast	4	Off-List[47]	Off-List[242]	"2,631"	Off-List[69]	"3,224"	"11,565"	2	5
		Coyote's Song	4	Off-List[8]	Off-List[93]	"2,213"	Off-List[17]	"3,430"	"11,548"	2	5
		Home Invasion	4	Off-List[75]	Off-List[276]	Off-List[4]	Off-List[92]	"3,548"	"12,229"	2	7
		In from the Cold	4	Off-List[107]	Off-List[373]	Off-List[3]	Off-List[127]	"3,707"	"5,552"	4	8
		Listen!	4	Off-List[60]	Off-List[246]	"2,781"	Off-List[73]	"9,406"	"16,213"	2	5
		Love You to Death	4	Off-List[198]	Off-List[535]	Off-List[21]	Off-List[237]	"5,060"	"12,879"	4	6
		Missing	4	Off-List[37]	Off-List[183]	Off-List[2]	Off-List[58]	"4,253"	"16,486"	2	4
		New Year's Eve	4	Off-List[128]	Off-List[419]	Off-List[5]	Off-List[161]	"4,131"	"12,605"	3	7
		Picture This	4	Off-List[77]	Off-List[318]	"2,709"	Off-List[89]	"6,095"	"20,501"	3	8
		Shipwreck	4	Off-List[137]	Off-List[432]	Off-List[15]	Off-List[181]	"5,587"	"13,149"	3	6
		The Break-In	4	Off-List[186]	Off-List[489]	Off-List[27]	Off-List[204]	"11,210"	"14,249"	3	7
		The Clear-Out	4	Off-List[46]	Off-List[244]	Off-List[1]	Off-List[64]	"2,866"	"11,360"	2	6
		The Day the Rebels Came to Town	4	Off-List[168]	Off-List[465]	Off-List[22]	Off-List[188]	"3,673"	"9,314"	3	6
		The Picture of Nobody	4	Off-List[79]	Off-List[363]	"2,680"	Off-List[131]	"3,789"	"15,053"	3	7
		The Stalker	4	Off-List[56]	Off-List[294]	Off-List[3]	Off-List[92]	"5,025"	"14,176"	3	6
		Tribb's Troubles	4	Off-List[60]	Off-List[197]	Off-List[4]	Off-List[67]	"3,065"	"12,107"	3	5
	Photostories
		A Bad Car Day	2	1703	Off-List[1]	799	"1,602"	"17,548"	"17,548"	1	1
		A Good Nights Sleep	2	Off-List[1]	Off-List[6]	"2,292"	Off-List[4]	"14,742"	"14,742"	2	3
		Animal Shelter	2	2027	Off-List[2]	"1,960"	Off-List[1]	"12,816"	"19,612"	12	16
		Bald Eagles	2	Off-List[4]	Off-List[8]	Off-List[4]	Off-List[7]	"6,291"	"6,291"	5	5
		Bears	2	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[2]	"2,592"	"4,928"	5	10
		Cake Date	2	1955	2457	"1,812"	"2,171"	"16,868"	"16,868"	2	2
		Daycare Centre	2	2137	Off-List[3]	"1,366"	Off-List[1]	"15,749"	"15,749"	1	33
		Fad Diets	2	Off-List[3]	Off-List[9]	Off-List[2]	Off-List[6]	"2,572"	"15,441"	3	8
		Frans Story	2	Off-List[2]	Off-List[7]	"1,812"	Off-List[1]	"2,890"	"12,079"	1	2
		Gardening	2	Off-List[3]	Off-List[5]	"2,166"	Off-List[1]	"1,560"	"1,630"	2	2
		Grey Seals	2	Off-List[7]	Off-List[13]	Off-List[1]	Off-List[3]	"4,622"	"5,154"	2	2
		Grey Wolves	2	Off-List[4]	Off-List[7]	Off-List[2]	Off-List[3]	"3,733"	"5,154"	2	5
		How to Be Good to Yourself	2	1628	Off-List[2]	"2,688"	"2,688"	"1,112"	"1,630"	2	2
		How to Build Community	2	1928	Off-List[4]	"1,220"	Off-List[1]	"1,177"	"2,620"	2	4
		How to Check an Apartment	2	Off-List[10]	Off-List[14]	Off-List[4]	Off-List[7]	"12,079"	"18,767"	4	9
		How to Clean Green	2	Off-List[12]	Off-List[17]	Off-List[4]	Off-List[7]	"13,851"	"13,851"	13	13
		How to find a Good Used Car	2	Off-List[4]	Off-List[10]	"1,908"	Off-List[4]	"2,635"	"4,220"	2	5
		How to Live Green	2	Off-List[6]	Off-List[13]	Off-List[1]	Off-List[7]	"3,269"	"13,096"	2	3
		How to Save Time	2	1890	Off-List[1]	"1,329"	"2,289"	"1,112"	"1,201"	1	2
		How to Stop Hiccups	2	Off-List[8]	Off-List[14]	Off-List[6]	Off-List[12]	"4,638"	"4,638"	9	9
		Inside Out	2	1672	Off-List[3]	"1,678"	Off-List[2]	"16,447"	"16,447"	4	5
		Just Good Friends	2	2268	Off-List[6]	"1,630"	"2,415"	"12,189"	"14,234"	1	2
		Late Again!	2	Off-List[2]	Off-List[6]	Off-List[1]	Off-List[5]	"12,013"	"14,541"	1	2
		Love of My Life	2	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[3]	"8,668"	"8,668"	12	12
		Mandys Garage Sale	2	Off-List[1]	Off-List[7]	"1,992"	"2,660"	"1,173"	"2,766"	2	2
		Potluck	2	Off-List[4]	Off-List[7]	Off-List[1]	Off-List[3]	"12,605"	"15,068"	2	2
		Saying No	2	1983	Off-List[2]	932	"1,811"	"21,778"	"21,778"	1	1
		Senior Centre	2	Off-List[1]	Off-List[4]	"1,597"	"2,766"	"14,176"	"14,176"	8	8
		Soup Kitchen	2	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[3]	"1,907"	"14,252"	2	2
		Stress	2	2137	Off-List[3]	"2,292"	Off-List[3]	"12,816"	"13,096"	1	2
		The Big Goof	2	Off-List[2]	Off-List[7]	924	Off-List[1]	"11,512"	"11,512"	2	3
		The Big Question	2	Off-List[2]	Off-List[6]	Off-List[1]	Off-List[4]	"15,068"	"15,068"	1	2
		The Big Snore	2	Off-List[3]	Off-List[6]	"2,133"	Off-List[2]	"46,810"	"46,810"	2	4
		The Big Surprise	2	Off-List[3]	Off-List[8]	Off-List[1]	Off-List[5]	"14,357"	"17,144"	4	33
		The Change	2	Off-List[3]	Off-List[6]	Off-List[1]	Off-List[4]	"13,851"	"13,851"	13	13
		The Coffee Lover	2	Off-List[3]	Off-List[6]	Off-List[1]	Off-List[2]	"1,786"	"12,189"	2	5
		The E-mail	2	Off-List[1]	Off-List[2]	"2,104"	Off-List[1]	"16,622"	"16,622"	2	2
		The Hike	2	2373	Off-List[2]	"2,224"	"2,280"	"6,369"	"6,369"	2	2
		The Map	2	2137	Off-List[1]	"1,210"	Off-List[1]	"17,299"	"17,299"	2	5
		The Mix-up	2	Off-List[7]	Off-List[10]	Off-List[5]	Off-List[7]	"14,203"	"14,203"	6	33
		The New Shoes	2	1758	1758	"1,474"	"1,474"	537	794	1	1
		The Perfect Man	2	Off-List[3]	Off-List[4]	Off-List[2]	Off-List[3]	"18,537"	0[1]	3	6
		The Phone Call	2	Off-List[2]	Off-List[3]	Off-List[1]	Off-List[2]	"44,054"	"44,054"	2	5
		The Test	2	1507	1878	884	"1,303"	"12,189"	"12,189"	1	2
		Thrift Store	2	Off-List[2]	Off-List[4]	"1,569"	"1,992"	"18,439"	"18,439"	2	2
		Tonys Deal	2	1322	Off-List[2]	892	"1,852"	"3,286"	"10,746"	1	2
HALICO
	Pocket Readers
		Campfire Ghost Stories	3	1877	Off-List[9]	"1,351"	"2,586"	"1,717"	"12,079"	1	2
		Consiracy Theories	3	Off-List[2]	Off-List[21]	"1,877"	Off-List[4]	"10,964"	"24,449"	2	8
		Culture Shock Japan	3	Off-List[8]	Off-List[64]	"2,171"	Off-List[19]	"2,436"	"11,370"	2	7
		Homestay in Australia	3	Off-List[1]	Off-List[41]	"1,664"	Off-List[8]	"10,402"	"18,579"	1	6
		Homestay in the UK	3	Off-List[7]	Off-List[50]	"1,817"	Off-List[7]	"11,680"	"12,429"	2	4
		Homestay in the USA	3	Off-List[6]	Off-List[60]	"1,867"	Off-List[15]	"14,143"	"16,274"	2	6
		Ice Station at the End of the World	3	2447	Off-List[23]	"1,760"	Off-List[1]	"1,799"	"4,570"	2	3
		Japanese Communities Around the World	3	Off-List[2]	Off-List[32]	"2,508"	Off-List[8]	"11,370"	"16,019"	2	4
		Kuchisake Onna Story 1	3	1877	Off-List[7]	"1,311"	"2,654"	"1,630"	"20,731"	1	2
		Kuchisake Onna Story 2	3	1993	Off-List[13]	"1,393"	"2,654"	"1,192"	"2,366"	1	2
